Unnamed: 0.1,Unnamed: 0,Japanese,English
441,444,アレックス,alex
442,445,木,tree
443,446,号,issue
444,447,山,mountain
445,448,解,Solution
446,449,警部,Inspector
447,450,食事,meal
449,452,侵入,intrusion
450,453,駄目,No good
451,454,緊急,emergency
452,455,親父,father
453,456,気付,care
454,457,主,main
455,458,速,speed
456,459,休,Closed
457,460,原因,cause
458,461,警告,caveat
459,462,山里,mountain village
460,463,部下,subordinate
462,465,到着,arrival
463,466,自殺,suicide
464,467,屋,shop
465,468,現在,the current
466,469,一部,part
467,470,行為,act
469,472,大切,important
470,473,関わ,involved
471,474,常,always
472,475,感情,emotions
473,476,星,star
474,477,手紙,letter
475,478,混乱,confusion
476,479,支配,control
477,480,影響,influence
478,481,受け入れ,accept
479,482,知れ,Know
480,483,行方,whereabouts
481,484,少女,girl
482,485,位,rank
483,486,半分,half
484,487,誕生,birth
485,488,超,super
486,489,施設,facility
487,490,殺せ,Kill it
488,491,向け,for
489,492,機会,opportunity
490,493,正確,accurate
491,494,料理,cooking
492,495,要求,request
493,496,再,Re
494,497,指示,instructions
495,498,部隊,troops
496,499,何者,who
497,500,音楽,music
498,501,上げ,raise
499,502,管理,management
500,503,映像,picture
501,504,開始,start
502,505,議員,Member of Parliament
503,506,反対,Opposition
504,507,勝手,selfishness
505,508,器,vessel
506,509,反応,reaction
507,510,可愛,Cute
508,511,女王,queen
509,512,師,teacher
510,513,大好き,really like
511,514,面倒,troublesome
512,515,出発,departure
513,516,引,Pull
514,517,保安,security
515,518,楽しみ,fun
516,519,行き,Going
517,520,将軍,general
518,521,事態,situation
519,522,一杯,A cup
520,523,近,near
521,524,発,Departure
522,525,取り戻,take back
523,526,偉大,great
524,527,結局,in the end
525,528,ロシア,Russia
526,529,司令,command
527,530,平和,peace
528,531,解放,release
529,532,直,straight
530,533,事務,Office work
531,534,瞬間,moment
532,535,教授,professor
533,536,示,Show
534,537,教会,church
535,538,優し,Kindness
536,539,以来,Since then
537,540,突然,suddenly
538,541,付き合,companionship
539,542,集中,concentration
540,543,通信,communication
541,544,あっち,Over there
542,546,殺し,kill
543,547,部分,portion
544,548,様子,state
545,549,沢山,many
546,550,参加,Participation
547,551,旅,Journey
548,552,社,company
549,553,重,heavy
550,554,自然,nature
551,555,殺害,murder
552,556,園,garden
553,557,速人,Hayato
554,558,途中,in the middle
555,559,証言,testimony
556,560,夏美,Natsumi
557,561,取れ,Take it
558,562,前回,last time
559,563,手術,surgery
560,564,強盗,robbery
561,565,種,seed
562,566,魔女,witch
563,567,専門,specialty
564,568,閣下,Your Honor
565,569,会議,meeting
567,571,提供,offer
568,572,離,away
569,573,荷物,luggage
570,574,安心,peace of mind
571,575,基地,base
572,576,目撃,sighting
573,577,動き,movement
574,578,指,finger
576,580,時々,sometimes
577,581,怪物,monster
578,582,会話,conversation
579,583,受け取,receipt
580,584,一致,match
581,585,全体,whole
582,586,徳井,Tokui
583,587,アンタ,You
584,588,親,parent
585,589,天使,angel
586,590,勝利,victory
587,591,主義,principle
588,592,旅行,trip
589,593,死亡,death
590,594,夫人,Mrs.
591,595,目標,the goal
592,596,個,pieces
593,597,中国,China
594,598,生徒,student
595,599,建物,building
596,600,確信,Confidence
597,601,出会,encounter
598,602,使用,use
600,604,社会,society
601,605,周り,around
602,606,色,color
603,607,停止,Stop
604,608,曲,song
605,609,実験,experiment
606,610,直接,directly
607,611,川,river
608,612,実行,execution
609,613,半,half
610,614,乗せ,ride
611,615,後悔,regret
612,616,案内,guidance
613,617,禁止,Prohibited
614,618,距離,distance
615,619,次第,depend on
616,620,感染,infection
617,621,制御,control
618,622,戦闘,battle
619,623,以内,within
620,624,書類,document
621,625,偶然,coincidence
622,626,機械,machine
623,627,最終,final
624,628,無視,ignore
625,629,』,”
626,630,王子,prince
627,631,呼吸,breathing
628,632,巨人,giant
629,633,軍隊,army
630,634,支援,support
631,635,大人,adult
632,636,同意,consent
633,637,恋人,lover
634,638,知り合い,acquaintance
635,639,努力,effort
636,640,足り,Enough
637,641,進め,proceed
638,642,惑星,planet
639,643,回復,recovery
640,644,新聞,newspaper
641,645,『,『
642,646,話し,story
643,647,アパート,apartment
644,648,組,set
645,649,アア,Aah
646,650,生き残,survive
647,651,一生,lifetime
648,652,処理,process
649,653,兵器,weapons
650,654,方向,direction
651,655,決定,decision
652,656,当た,Won
653,657,アクセス,access
654,658,満足,satisfaction
655,659,クレア,Claire
656,660,神経,nerve
657,661,症,disease
658,662,流,flow
659,663,分析,analysis
660,664,不思議,wonder
661,665,限,Limited
662,666,半田,solder
663,667,物語,story
664,668,ア,a
665,669,練習,practice
666,670,久し,It’s been a while
667,671,他人,others
668,672,両方,both
669,673,南,south
671,675,～,～
672,676,再び,again
673,677,医,medicine
674,678,指揮,command
675,679,最大,maximum
676,680,病,disease
677,681,記事,article
678,682,時計,clock
679,683,アラン,Alan
680,684,手段,means
681,685,高校,high school
682,686,太陽,solar
683,688,青,blue
684,689,向,Direction
685,690,才能,talent
686,691,交換,exchange
688,693,救急,emergency
689,694,魅力,charm
690,695,楽,easy
691,696,応答,response
692,697,最,most
693,698,修理,repair
694,699,勉強,study
695,700,社長,president
696,701,ありさ,Arisa
697,702,試合,game
698,703,気の毒,I feel sorry for you
699,704,金持ち,rich man
700,705,安定,stable
701,706,指紋,fingerprint
702,707,流れ,flow
703,708,団,group
704,709,代,teenager
705,710,日間,days
706,711,午後,afternoon
707,712,政治,politics
708,713,正体,true identity
